username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,nt_self_bail_loss_ratio,t_self_bail_loss_ratio,suspicion_score,reasons
didikliar,21,0,0,21,0.000000,14.387770,0.000000,20,0,0,20,0.000000,13.388769,0.000000,1,0,0,1,0.000000,0.999001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
donthie,73,38,16,19,10.889693,11.426029,0.953060,27,12,6,9,4.421254,5.004468,0.883461,46,26,10,10,6.468440,6.421561,1.007300,-0.123839,0.078947,0.631579,0.571429,0.722222,-0.150794,1.000000,0.888889,0.00,
dr4gndrop,31,16,0,15,5.748027,6.988672,0.822478,31,16,0,15,5.748027,6.988672,0.822478,0,0,0,0,0.000000,0.000000,0.000000,0.822478,0.250000,0.250000,0.516129,0.000000,0.516129,0.000000,0.066667,0.00,
goodie50,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
kavin1000,18,12,0,6,2.970601,2.426470,1.224248,17,12,0,5,2.970601,2.378217,1.249088,1,0,0,1,0.000000,0.048253,0.000000,1.249088,0.333333,0.333333,0.705882,0.000000,0.705882,1.000000,0.400000,0.00,
keitchris,51,22,4,25,8.213200,9.273262,0.885686,15,5,1,9,2.159713,1.345194,1.605503,36,17,3,16,6.053487,7.928069,0.763551,0.841952,0.045455,0.454545,0.357143,0.515152,-0.158009,1.000000,1.000000,0.00,
kinaole,37,13,0,24,5.134610,7.370046,0.696686,25,10,0,15,3.153275,3.603461,0.875068,12,3,0,9,1.981335,3.766585,0.526030,0.349039,0.230769,0.153846,0.400000,0.250000,0.150000,0.444444,0.400000,0.00,
lnummert,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
madwomanacrossthewater,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
magnushomes,11,9,0,2,2.796059,1.028763,2.717886,11,9,0,2,2.796059,1.028763,2.717886,0,0,0,0,0.000000,0.000000,0.000000,2.717886,0.000000,0.333333,0.818182,0.000000,0.818182,0.000000,1.000000,0.00,
massivewombat,10,5,0,5,0.726776,1.866237,0.389434,6,1,0,5,0.406145,1.866237,0.217628,4,4,0,0,0.320632,0.000000,320631581.424439,-320631581.206812,0.000000,0.400000,0.166667,1.000000,-0.833333,0.000000,1.000000,0.00,
miheto,47,31,2,14,7.076757,6.457356,1.095922,37,25,1,11,4.743598,4.775853,0.993246,10,6,1,3,2.333159,1.681503,1.387544,-0.394297,0.322581,0.354839,0.694444,0.666667,0.027778,1.000000,0.545455,0.00,
munja44,328,165,20,143,57.709817,57.953445,0.995796,325,164,20,141,57.242869,56.699316,1.009587,3,1,0,2,0.466949,1.254130,0.372329,0.637258,0.078788,0.496970,0.537705,0.333333,0.204372,1.000000,0.815603,0.00,
nastalper,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ninjaswat,1,0,0,1,0.000000,0.266366,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.266366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.00,
