username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
lnummert,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
machprot17,74,33,4,37,15.241687,15.665851,0.972924,0,0,0,0,0.000000,0.000000,0.000000,74,33,4,37,15.241687,15.665851,0.972924,-0.972924,0.060606,0.484848,0.000000,0.471429,-0.471429,0.00,
macmo777,15,8,1,6,3.408748,2.793042,1.220443,5,2,0,3,1.211050,0.954699,1.268516,10,6,1,3,2.197698,1.838343,1.195478,0.073038,0.000000,0.000000,0.400000,0.666667,-0.266667,0.00,
madwomanacrossthewater,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
s-p-r-i-n-t-e-r77,18,13,0,5,3.972311,1.702234,2.333587,10,5,0,5,2.540618,1.702234,1.492520,8,8,0,0,1.431692,0.000000,1431692162.522206,-1431692161.029686,0.000000,0.230769,0.500000,1.000000,-0.500000,0.00,
seakayjee,184,111,2,71,39.122910,30.003313,1.303953,177,110,1,66,38.481923,27.969891,1.375834,7,1,1,5,0.640986,2.033422,0.315226,1.060608,0.234234,0.351351,0.625000,0.166667,0.458333,0.00,
smootscoot,34,14,0,20,6.077823,7.640833,0.795440,21,9,0,12,4.929109,4.620662,1.066754,13,5,0,8,1.148714,3.020171,0.380347,0.686406,0.071429,0.214286,0.428571,0.384615,0.043956,0.00,
stoo16,66,14,3,49,9.167473,11.171749,0.820594,0,0,0,0,0.000000,0.000000,0.000000,66,14,3,49,9.167473,11.171749,0.820594,-0.820594,0.000000,0.214286,0.000000,0.222222,-0.222222,0.00,
tomasagua99,11,9,0,2,1.721372,1.344406,1.280396,10,9,0,1,1.721372,0.805628,2.136684,1,0,0,1,0.000000,0.538778,0.000000,2.136684,0.333333,0.222222,0.900000,0.000000,0.900000,0.00,
xhz17,9,7,2,0,2.052704,0.197345,10.401595,0,0,0,0,0.000000,0.000000,0.000000,9,7,2,0,2.052704,0.197345,10.401595,-10.401595,0.000000,0.142857,0.000000,1.000000,-1.000000,0.00,
xijinpingputinsalman,27,7,0,20,2.845921,5.535603,0.514112,25,7,0,18,2.845921,5.119101,0.555942,2,0,0,2,0.000000,0.416502,0.000000,0.555942,0.428571,0.285714,0.280000,0.000000,0.280000,0.00,
xxmomoxxx,16,0,0,16,0.000000,10.792062,0.000000,14,0,0,14,0.000000,8.792872,0.000000,2,0,0,2,0.000000,1.999190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
