username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
sigmam8,35,32,3,0,1.0000,35,32,3,0,1.0000,30,30,0,0.0625,0.5938,22,22,0,0,1.0000,13,10,3,0,1.0000,0.0000,5.70,High lifetime WR 100% over 35 games | High recent WR 100% over 35 games | Active win streak 30 | 59% of wins via resign/timeout
marquito_777,89,83,2,4,0.9540,89,83,2,4,0.9540,54,54,2,0.0964,0.4578,20,15,1,4,0.7895,69,68,1,0,1.0000,-0.2105,5.00,High lifetime WR 95% over 89 games | High recent WR 95% over 89 games | Active win streak 54
avraham-el,126,99,8,19,0.8390,126,99,8,19,0.8390,1,18,18,0.4040,0.1212,75,55,7,13,0.8088,51,44,1,6,0.8800,-0.0712,5.00,High lifetime WR 84% over 126 games | High recent WR 84% over 126 games | 18 upset wins (≥250)
boddanagovindarao,42,34,0,8,0.8095,42,34,0,8,0.8095,0,32,6,0.3529,0.0588,37,30,0,7,0.8108,5,4,0,1,0.8000,0.0108,5.00,High lifetime WR 81% over 42 games | High recent WR 81% over 42 games | 6 upset wins (≥250)
datadane,55,52,0,3,0.9455,55,52,0,3,0.9455,17,28,0,0.1154,0.3846,50,47,0,3,0.9400,5,5,0,0,1.0000,-0.0600,5.00,High lifetime WR 95% over 55 games | High recent WR 95% over 55 games | Active win streak 17
eduardolcampos,88,72,6,10,0.8780,88,72,6,10,0.8780,1,26,0,0.1111,0.5000,65,52,5,8,0.8667,23,20,1,2,0.9091,-0.0424,4.70,High lifetime WR 88% over 88 games | High recent WR 88% over 88 games | 50% of wins via resign/timeout
bilousov,36,27,5,4,0.8710,36,27,5,4,0.8710,3,7,0,0.1481,0.6296,36,27,5,4,0.8710,0,0,0,0,0.0000,0.8710,4.70,High lifetime WR 87% over 36 games | High recent WR 87% over 36 games | 63% of wins via resign/timeout
notnerdyn3rd,299,135,14,150,0.4737,299,135,14,150,0.4737,0,10,4,0.2074,0.4370,82,54,4,24,0.6923,217,81,10,126,0.3913,0.3010,3.20,4 upset wins (≥250) | Tournament WR 69% vs non-tournament 39% (gap 30%)
sonny344,29,23,3,3,0.8846,29,23,3,3,0.8846,9,11,0,0.1304,0.2609,14,10,2,2,0.8333,15,13,1,1,0.9286,-0.0952,3.00,High recent WR 88% over 29 games | Active win streak 9
boardgamemaster_phi,95,36,8,51,0.4138,95,36,8,51,0.4138,2,6,0,0.1389,0.5833,30,16,4,10,0.6154,65,20,4,41,0.3279,0.2875,2.90,58% of wins via resign/timeout | Tournament WR 62% vs non-tournament 33% (gap 29%)
sacrificetheroooooook2025,21,16,1,4,0.8000,21,16,1,4,0.8000,1,7,0,0.1250,0.6250,21,16,1,4,0.8000,0,0,0,0,0.0000,0.8000,2.70,High recent WR 80% over 21 games | 62% of wins via resign/timeout
jcf6500,19,15,1,3,0.8333,19,15,1,3,0.8333,2,5,0,0.0000,0.6000,0,0,0,0,0.0000,19,15,1,3,0.8333,-0.8333,2.70,High recent WR 83% over 19 games | 60% of wins via resign/timeout
