username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
sigmam8,36,33,3,0,1.0000,36,33,3,0,1.0000,31,31,0,0.0606,0.6061,23,23,0,0,1.0000,13,10,3,0,1.0000,0.0000,5.70,High lifetime WR 100% over 36 games | High recent WR 100% over 36 games | Active win streak 31 | 61% of wins via resign/timeout
sonny344,30,24,3,3,0.8889,30,24,3,3,0.8889,10,11,0,0.1250,0.2500,14,10,2,2,0.8333,16,14,1,1,0.9333,-0.1000,5.00,High lifetime WR 89% over 30 games | High recent WR 89% over 30 games | Active win streak 10
avraham-el,135,107,8,20,0.8425,135,107,8,20,0.8425,2,18,20,0.3832,0.1495,83,62,7,14,0.8158,52,45,1,6,0.8824,-0.0666,5.00,High lifetime WR 84% over 135 games | High recent WR 84% over 135 games | 20 upset wins (≥250)
boddanagovindarao,48,40,0,8,0.8333,48,40,0,8,0.8333,6,32,6,0.3000,0.0750,42,35,0,7,0.8333,6,5,0,1,0.8333,0.0000,5.00,High lifetime WR 83% over 48 games | High recent WR 83% over 48 games | 6 upset wins (≥250)
marquito_777,99,93,2,4,0.9588,99,93,2,4,0.9588,64,64,2,0.0968,0.4516,20,15,1,4,0.7895,79,78,1,0,1.0000,-0.2105,5.00,High lifetime WR 96% over 99 games | High recent WR 96% over 99 games | Active win streak 64
datadane,55,52,0,3,0.9455,55,52,0,3,0.9455,17,28,0,0.1154,0.3846,50,47,0,3,0.9400,5,5,0,0,1.0000,-0.0600,5.00,High lifetime WR 95% over 55 games | High recent WR 95% over 55 games | Active win streak 17
bilousov,39,29,5,5,0.8529,39,29,5,5,0.8529,0,7,0,0.1724,0.5862,39,29,5,5,0.8529,0,0,0,0,0.0000,0.8529,4.70,High lifetime WR 85% over 39 games | High recent WR 85% over 39 games | 59% of wins via resign/timeout
eduardolcampos,91,75,6,10,0.8824,91,75,6,10,0.8824,4,26,0,0.1200,0.5200,66,53,5,8,0.8689,25,22,1,2,0.9167,-0.0478,4.70,High lifetime WR 88% over 91 games | High recent WR 88% over 91 games | 52% of wins via resign/timeout
bobbyfisher1973,31,25,2,4,0.8621,31,25,2,4,0.8621,2,15,0,0.1600,0.3200,25,20,1,4,0.8333,6,5,1,0,1.0000,-0.1667,4.00,High lifetime WR 86% over 31 games | High recent WR 86% over 31 games
notnerdyn3rd,326,149,15,162,0.4791,326,149,15,162,0.4791,2,10,4,0.2215,0.4362,87,57,5,25,0.6951,239,92,10,137,0.4017,0.2934,3.20,4 upset wins (≥250) | Tournament WR 70% vs non-tournament 40% (gap 29%)
boardgamemaster_phi,100,36,8,56,0.3913,100,36,8,56,0.3913,0,6,0,0.1389,0.5833,30,16,4,10,0.6154,70,20,4,46,0.3030,0.3124,2.90,58% of wins via resign/timeout | Tournament WR 62% vs non-tournament 30% (gap 31%)
johno101,103,51,4,48,0.5152,103,51,4,48,0.5152,1,8,0,0.2157,0.1961,77,47,3,27,0.6351,26,4,1,21,0.1600,0.4751,2.20,Tournament WR 64% vs non-tournament 16% (gap 48%)
goodyprime,48,18,3,27,0.4000,48,18,3,27,0.4000,0,3,4,0.1111,0.6667,10,4,1,5,0.4444,38,14,2,22,0.3889,0.0556,1.70,4 upset wins (≥250) | 67% of wins via resign/timeout
hangingmixer,145,93,10,42,0.6889,145,93,10,42,0.6889,0,32,3,0.0538,0.5591,10,3,2,5,0.3750,135,90,8,37,0.7087,-0.3337,1.70,3 upset wins (≥250) | 56% of wins via resign/timeout
knightispower,48,19,1,28,0.4043,48,19,1,28,0.4043,0,4,5,0.2632,0.5263,10,8,0,2,0.8000,38,11,1,26,0.2973,0.5027,1.70,5 upset wins (≥250) | 53% of wins via resign/timeout
mahernoz,11,11,0,0,1.0000,11,11,0,0,1.0000,11,11,0,0.0909,0.5455,4,4,0,0,1.0000,7,7,0,0,1.0000,0.0000,1.70,Active win streak 11 | 55% of wins via resign/timeout
alexk82,297,110,13,174,0.3873,297,110,13,174,0.3873,3,10,11,0.2545,0.3455,279,107,13,159,0.4023,18,3,0,15,0.1667,0.2356,1.00,11 upset wins (≥250)
anton080963,116,8,1,3,0.0696,116,8,1,3,0.0696,9,9,0,0.2500,0.5000,76,4,1,3,0.0533,40,4,0,0,0.1000,-0.0467,1.00,Active win streak 9
joao20pedro,126,67,5,54,0.5537,126,67,5,54,0.5537,3,9,4,0.2388,0.2388,116,63,5,48,0.5676,10,4,0,6,0.4000,0.1676,1.00,4 upset wins (≥250)
