username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
professorpika,91,39,1,51,0.4333,91,39,1,51,0.4333,0,6,7,0.2308,0.2051,46,17,0,29,0.3696,45,22,1,22,0.5,-0.1304,1,7 upset wins (≥250)
sc00pex,121,63,5,53,0.5431,121,63,5,53,0.5431,0,9,3,0.2381,0.2222,113,61,5,47,0.5648,8,2,0,6,0.25,0.3148,1,3 upset wins (≥250)
schachliebe123,191,71,1,119,0.3737,191,71,1,119,0.3737,0,6,12,0.3521,0.1127,117,44,1,72,0.3793,74,27,0,47,0.3649,0.0144,1,12 upset wins (≥250)
sunildsouza22918,210,106,2,102,0.5096,210,106,2,102,0.5096,0,10,4,0.2075,0.3019,210,106,2,102,0.5096,0,0,0,0,0,0.5096,1,4 upset wins (≥250)
wishiwasgolfing,93,53,4,36,0.5955,93,53,4,36,0.5955,0,8,4,0.0566,0.2075,2,2,0,0,1,91,51,4,36,0.5862,0.4138,1,4 upset wins (≥250)
crher700,421,255,8,158,0.6174,421,255,8,158,0.6174,2,20,5,0.2039,0.3255,155,101,4,50,0.6689,266,154,4,108,0.5878,0.0811,1,5 upset wins (≥250)
polotheo11,138,58,2,78,0.4265,138,58,2,78,0.4265,2,8,9,0.2069,0.2069,137,58,2,77,0.4296,1,0,0,1,0,0.4296,1,9 upset wins (≥250)
redanos,19,14,0,5,0.7368,19,14,0,5,0.7368,0,5,3,0.3571,0,4,4,0,0,1,15,10,0,5,0.6667,0.3333,1,3 upset wins (≥250)
rhudson1987,49,26,6,17,0.6047,49,26,6,17,0.6047,0,7,3,0.2692,0.3846,40,19,4,17,0.5278,9,7,2,0,1,-0.4722,1,3 upset wins (≥250)
sapper8386,31,11,0,20,0.3548,31,11,0,20,0.3548,0,4,3,0.3636,0,31,11,0,20,0.3548,0,0,0,0,0,0.3548,1,3 upset wins (≥250)
tomasagua99,9,8,0,1,0.8889,9,8,0,1,0.8889,9,9,0,0.25,0.25,8,8,0,0,1,1,0,0,1,0,1,1,Active win streak 9
d0ct0r_livesey,602,228,13,361,0.3871,602,228,13,361,0.3871,3,8,21,0.2851,0.3026,570,215,13,342,0.386,32,13,0,19,0.4062,-0.0203,1,21 upset wins (≥250)
tokkles84,415,190,6,219,0.4645,415,190,6,219,0.4645,0,14,5,0.2526,0.3474,344,156,4,184,0.4588,71,34,2,35,0.4928,-0.0339,1,5 upset wins (≥250)
billyeatstofu,18,12,0,6,0.6667,18,12,0,6,0.6667,0,5,2,0.0833,0.6667,2,1,0,1,0.5,16,11,0,5,0.6875,-0.1875,0.7,67% of wins via resign/timeout
donthie,65,35,15,15,0.7,65,35,15,15,0.7,2,4,0,0.0857,0.6571,24,12,6,6,0.6667,41,23,9,9,0.7188,-0.0521,0.7,66% of wins via resign/timeout
keitchris,47,20,4,23,0.4651,47,20,4,23,0.4651,0,5,0,0.05,0.5,15,5,1,9,0.3571,32,15,3,14,0.5172,-0.1601,0.7,50% of wins via resign/timeout
stradbroketf,18,10,0,8,0.5556,18,10,0,8,0.5556,1,3,0,0.1,0.7,0,0,0,0,0,18,10,0,8,0.5556,-0.5556,0.7,70% of wins via resign/timeout
primeo01,17,11,0,6,0.6471,17,11,0,6,0.6471,0,9,1,0.0909,0.7273,8,8,0,0,1,9,3,0,6,0.3333,0.6667,0.7,73% of wins via resign/timeout
alejandrojacama,22,16,1,5,0.7619,22,16,1,5,0.7619,5,7,0,0.125,0.5,14,9,1,4,0.6923,8,7,0,1,0.875,-0.1827,0.7,50% of wins via resign/timeout
giuseppe-pepe,60,34,4,22,0.6071,60,34,4,22,0.6071,0,7,0,0.1176,0.5,48,28,4,16,0.6364,12,6,0,6,0.5,0.1364,0.7,50% of wins via resign/timeout
kangru,25,15,2,8,0.6522,25,15,2,8,0.6522,1,4,0,0.0667,0.7333,8,5,0,3,0.625,17,10,2,5,0.6667,-0.0417,0.7,73% of wins via resign/timeout
albinegre_288,27,16,5,6,0.7273,27,16,5,6,0.7273,0,6,0,0.0625,0.6875,10,4,0,6,0.4,17,12,5,0,1,-0.6,0.7,69% of wins via resign/timeout
carotina14,27,10,0,17,0.3704,27,10,0,17,0.3704,0,8,1,0.7,0.2,3,0,0,3,0,24,10,0,14,0.4167,-0.4167,0.7,70% of wins ≤40 plies
co_vua_chien_luoc,32,19,7,6,0.76,32,19,7,6,0.76,2,10,1,0.0526,0.6316,32,19,7,6,0.76,0,0,0,0,0,0.76,0.7,63% of wins via resign/timeout
elisabeth1208,14,12,0,2,0.8571,14,12,0,2,0.8571,2,7,0,0.0833,0.8333,2,2,0,0,1,12,10,0,2,0.8333,0.1667,0.7,83% of wins via resign/timeout
grstk,34,16,0,18,0.4706,34,16,0,18,0.4706,3,4,0,0,0.875,28,12,0,16,0.4286,6,4,0,2,0.6667,-0.2381,0.7,88% of wins via resign/timeout
itsartex,30,20,1,9,0.6897,30,20,1,9,0.6897,4,6,0,0.1,0.5,2,2,0,0,1,28,18,1,9,0.6667,0.3333,0.7,50% of wins via resign/timeout
mh0422,37,26,0,11,0.7027,37,26,0,11,0.7027,4,6,0,0.2308,0.5,0,0,0,0,0,37,26,0,11,0.7027,-0.7027,0.7,50% of wins via resign/timeout
primeo01,84,46,1,37,0.5542,84,46,1,37,0.5542,0,5,2,0.1522,0.5435,53,31,0,22,0.5849,31,15,1,15,0.5,0.0849,0.7,54% of wins via resign/timeout
ralral3333,14,10,1,3,0.7692,14,10,1,3,0.7692,3,15,0,0.2,0.6,7,5,1,1,0.8333,7,5,0,2,0.7143,0.119,0.7,60% of wins via resign/timeout
timtraining99,53,33,4,16,0.6735,53,33,4,16,0.6735,1,9,0,0.1818,0.5152,15,8,1,6,0.5714,38,25,3,10,0.7143,-0.1429,0.7,52% of wins via resign/timeout
alalper,70,35,6,29,0.5469,70,35,6,29,0.5469,0,6,2,0.1429,0.2286,21,8,2,11,0.4211,49,27,4,18,0.6,-0.1789,0,
alalper2,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,
amaybemanda,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
amr_sherif,10,2,0,8,0.2,10,2,0,8,0.2,0,2,0,0,0,10,2,0,8,0.2,0,0,0,0,0,0.2,0,
anukarshdubey,28,11,0,17,0.3929,28,11,0,17,0.3929,0,6,0,0,0.2727,24,7,0,17,0.2917,4,4,0,0,1,-0.7083,0,
biasicozzi,31,14,3,14,0.5,31,14,3,14,0.5,0,2,0,0.1429,0.2857,11,5,3,3,0.625,20,9,0,11,0.45,0.175,0,
bop0035,50,28,6,16,0.6364,50,28,6,16,0.6364,1,7,0,0.1786,0.4286,23,15,2,6,0.7143,27,13,4,10,0.5652,0.1491,0,
casaymarie,10,1,0,9,0.1,10,1,0,9,0.1,0,1,0,0,1,0,0,0,0,0,10,1,0,9,0.1,-0.1,0,
chessymohamed_rashid,7,3,4,0,1,7,3,4,0,1,0,4,0,0.6667,0,0,0,0,0,0,7,3,4,0,1,-1,0,
cutajar-5,29,10,1,18,0.3571,29,10,1,18,0.3571,0,4,1,0.3,0.1,0,0,0,0,0,29,10,1,18,0.3571,-0.3571,0,
didikliar,11,0,0,11,0,11,0,0,11,0,0,0,0,0,0,10,0,0,10,0,1,0,0,1,0,0,0,
divitsinghrawat,16,3,0,13,0.1875,16,3,0,13,0.1875,1,2,0,0,0.3333,3,0,0,3,0,13,3,0,10,0.2308,-0.2308,0,
dr4gndrop,29,14,0,15,0.4828,29,14,0,15,0.4828,0,6,0,0.2857,0.2143,29,14,0,15,0.4828,0,0,0,0,0,0.4828,0,
greatreader4231,30,6,0,24,0.2,30,6,0,24,0.2,0,3,2,0.1667,0.1667,11,0,0,11,0,19,6,0,13,0.3158,-0.3158,0,
kenthebluedog,24,12,3,9,0.5714,24,12,3,9,0.5714,0,2,0,0.1667,0.3333,15,9,0,6,0.6,9,3,3,3,0.5,0.1,0,
keshavasr,69,36,4,29,0.5538,69,36,4,29,0.5538,0,11,2,0.1944,0.2778,57,31,4,22,0.5849,12,5,0,7,0.4167,0.1682,0,
kinaole,30,7,0,23,0.2333,30,7,0,23,0.2333,0,1,1,0,0.2857,18,4,0,14,0.2222,12,3,0,9,0.25,-0.0278,0,
lavendar3,3,3,0,0,1,3,3,0,0,1,4,4,0,0,0,0,0,0,0,0,3,3,0,0,1,-1,0,
liarbird,8,7,1,0,1,8,7,1,0,1,1,6,0,0.2857,0.4286,0,0,0,0,0,8,7,1,0,1,-1,0,
lnummert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
machprot17,72,33,4,35,0.4853,72,33,4,35,0.4853,0,5,0,0.0606,0.4848,0,0,0,0,0,72,33,4,35,0.4853,-0.4853,0,
macmo777,12,7,0,5,0.5833,12,7,0,5,0.5833,2,2,0,0,0,4,2,0,2,0.5,8,5,0,3,0.625,-0.125,0,
madwomanacrossthewater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
magnushomes,10,8,0,2,0.8,10,8,0,2,0.8,1,7,0,0,0.25,10,8,0,2,0.8,0,0,0,0,0,0.8,0,
nastalper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ol_dirty_bispo,2,2,0,0,1,2,2,0,0,1,3,3,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,
rob_1986,14,7,1,6,0.5385,14,7,1,6,0.5385,0,6,0,0.5714,0.1429,13,7,1,5,0.5833,1,0,0,1,0,0.5833,0,
s-p-r-i-n-t-e-r77,18,13,0,5,0.7222,18,13,0,5,0.7222,1,7,0,0,0.2308,10,5,0,5,0.5,8,8,0,0,1,-0.5,0,
seakayjee,174,103,2,69,0.5988,174,103,2,69,0.5988,2,9,0,0.2233,0.3592,168,102,1,65,0.6108,6,1,1,4,0.2,0.4108,0,
smootscoot,30,13,0,17,0.4333,30,13,0,17,0.4333,1,7,1,0.0769,0.1538,17,8,0,9,0.4706,13,5,0,8,0.3846,0.086,0,
stihl088,15,7,0,8,0.4667,15,7,0,8,0.4667,1,3,1,0.1429,0.2857,6,3,0,3,0.5,9,4,0,5,0.4444,0.0556,0,
thommo711,64,47,1,16,0.746,64,47,1,16,0.746,1,12,1,0.3191,0.0213,63,46,1,16,0.7419,1,1,0,0,1,-0.2581,0,
tricia_pb20,61,31,1,29,0.5167,61,31,1,29,0.5167,0,8,2,0.3548,0.2258,20,7,0,13,0.35,41,24,1,16,0.6,-0.25,0,
xhz17,9,7,2,0,1,9,7,2,0,1,5,5,0,0,0.1429,0,0,0,0,0,9,7,2,0,1,-1,0,
xijinpingputinsalman,19,4,0,15,0.2105,19,4,0,15,0.2105,0,2,0,0.25,0,17,4,0,13,0.2353,2,0,0,2,0,0.2353,0,
xxmomoxxx,14,0,0,14,0,14,0,0,14,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,
young_obee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
